index	date	open_price	high_price	low_price	close_price	shares_traded	turnover
nifty50	03-Jan-25	24196.4	24196.45	23976	24004.75	312279515	29411.99
nifty50	06-Jan-25	24045.8	24089.95	23551.9	23616.05	278061806	25853.64
nifty50	07-Jan-25	23679.9	23795.2	23637.8	23707.9	262337253	22485.65
nifty50	08-Jan-25	23746.65	23751.85	23496.15	23688.95	266375381	24718.54
nifty50	09-Jan-25	23674.75	23689.5	23503.05	23526.5	269239831	26793.85
nifty50	10-Jan-25	23551.9	23596.6	23344.35	23431.5	261022434	25017.6
nifty50	13-Jan-25	23195.4	23340.95	23047.25	23085.95	316481107	26890.37
nifty50	14-Jan-25	23165.9	23264.95	23134.15	23176.05	311235510	31174.05
nifty50	15-Jan-25	23250.45	23293.65	23146.45	23213.2	228039156	21587.78
nifty50	16-Jan-25	23377.25	23391.65	23272.05	23311.8	299416081	29784.82
nifty50	17-Jan-25	23277.1	23292.1	23100.35	23203.2	272945267	27040.78
nifty50	20-Jan-25	23290.4	23391.1	23170.65	23344.75	301455455	27333.97
nifty50	21-Jan-25	23421.65	23426.3	22976.85	23024.65	312871897	30106.72
nifty50	22-Jan-25	23099.15	23169.55	22981.3	23155.35	275951918	25462.05
nifty50	23-Jan-25	23128.3	23270.8	23090.65	23205.35	275558357	27723.78
nifty50	24-Jan-25	23183.9	23347.3	23050	23092.2	264336332	24412.46
nifty50	27-Jan-25	22940.15	23007.45	22786.9	22829.15	257372790	24202.41
nifty50	28-Jan-25	22960.45	23137.95	22857.65	22957.25	361868609	33221.8
nifty50	29-Jan-25	23026.75	23183.35	22976.5	23163.1	251208119	22307.38
nifty50	30-Jan-25	23169.5	23322.05	23139.2	23249.5	384687127	35252.87
nifty50	31-Jan-25	23296.75	23546.8	23277.4	23508.4	326919177	28638.01
nifty50	01-Feb-25	23528.6	23632.45	23318.3	23482.15	287703637	25741.04
nifty50	03-Feb-25	23319.35	23381.6	23222	23361.05	347241171	32019.13
nifty50	04-Feb-25	23509.9	23762.75	23423.15	23739.25	376742506	35974.3
nifty50	05-Feb-25	23801.75	23807.3	23680.45	23696.3	267014345	25806.44
nifty50	06-Feb-25	23761.95	23773.55	23556.25	23603.35	306978683	30885.59
nifty50	07-Feb-25	23649.5	23694.5	23443.2	23559.95	368092482	30042
nifty50	10-Feb-25	23543.8	23568.6	23316.3	23381.6	225529166	21254.72
nifty50	11-Feb-25	23383.55	23390.05	22986.65	23071.8	267969979	27191.96
nifty50	12-Feb-25	23050.8	23144.7	22798.35	23045.25	279656513	26989.94
nifty50	13-Feb-25	23055.75	23235.5	22992.2	23031.4	265706855	25218.86
nifty50	14-Feb-25	23096.45	23133.7	22774.85	22929.25	254479643	22049.89
nifty50	17-Feb-25	22809.9	22974.2	22725.45	22959.5	207393944	19809.44
nifty50	18-Feb-25	22963.65	22992.5	22801.5	22945.3	210616675	19431.37
nifty50	19-Feb-25	22847.25	23049.95	22814.85	22932.9	206999204	19817.93
nifty50	20-Feb-25	22821.1	22923.85	22812.75	22913.15	240836647	21303.88
nifty50	21-Feb-25	22857.2	22921	22720.3	22795.9	242753984	21994.37
nifty50	24-Feb-25	22609.35	22668.05	22518.8	22553.35	214317552	20772.95
nifty50	25-Feb-25	22516.45	22625.3	22513.9	22547.55	250279519	24917.83
nifty50	27-Feb-25	22568.95	22613.3	22508.4	22545.05	289230479	29775.64
nifty50	28-Feb-25	22433.4	22450.35	22104.85	22124.7	551285287	52745.2
nifty50	03-Mar-25	22194.55	22261.55	22004.7	22119.3	282399735	25942.05
nifty50	04-Mar-25	21974.45	22105.05	21964.6	22082.65	253260641	22979.56
nifty50	05-Mar-25	22073.05	22394.9	22067.8	22337.3	305942691	26371.61
nifty50	06-Mar-25	22476.35	22556.45	22245.85	22544.7	372083680	30550.28
nifty50	07-Mar-25	22508.65	22633.8	22464.75	22552.5	289765795	21446.95
nifty50	10-Mar-25	22521.85	22676.75	22429.05	22460.3	293855491	22330.86
nifty50	11-Mar-25	22345.95	22522.1	22314.7	22497.9	347924102	29208.22
nifty50	12-Mar-25	22536.35	22577.4	22329.55	22470.5	369736725	33406.41
nifty50	13-Mar-25	22541.5	22558.05	22377.35	22397.2	287535243	22855.58
nifty50	17-Mar-25	22353.15	22577	22353.15	22508.75	251102239	24122.27
nifty50	18-Mar-25	22662.25	22857.8	22599.2	22834.3	272578844	26387.47
nifty50	19-Mar-25	22874.95	22940.7	22807.95	22907.6	323992121	26994.95
nifty50	20-Mar-25	23036.6	23216.7	22973.95	23190.65	313729818	27573.99
nifty50	21-Mar-25	23168.25	23402.7	23132.8	23350.4	540966316	51005.67
nifty50	24-Mar-25	23515.4	23708.75	23433.5	23658.35	311900413	28871.35
nifty50	25-Mar-25	23751.5	23869.6	23601.4	23668.65	338216746	35415.03
nifty50	26-Mar-25	23700.95	23736.5	23451.7	23486.85	278590831	26877.28
nifty50	27-Mar-25	23433.95	23646.45	23412.2	23591.95	510302142	46481.84
nifty50	28-Mar-25	23600.4	23649.2	23450.2	23519.35	387455531	29156.37
nifty50	01-Apr-25	23341.1	23565.15	23136.4	23165.7	375118343	30680.7
nifty50	02-Apr-25	23192.6	23350	23158.45	23332.35	340970371	24334.3
