index	date	open_price	high_price	low_price	close_price	shares_traded	turnover
niftybank	03-Jan-25	51567.15	51671.6	50904.35	50988.8	148238026	8040.74
niftybank	06-Jan-25	50990.65	51026.1	49751	49922	184590426	7006.9
niftybank	07-Jan-25	50061.2	50447.6	49969.3	50202.15	103825140	5397.67
niftybank	08-Jan-25	50201.75	50246.9	49389.75	49835.05	131178850	6950.22
niftybank	09-Jan-25	49712.55	49798.1	49230.15	49503.5	136379631	8842.81
niftybank	10-Jan-25	49426.5	49483.15	48631.2	48734.15	142386637	6354.11
niftybank	13-Jan-25	48264.25	48606.35	47898.35	48041.25	168780899	7299.58
niftybank	14-Jan-25	48266.9	49007.35	48235.2	48729.15	151923269	7745.76
niftybank	15-Jan-25	48832.75	49083.65	48522.4	48751.7	145112403	5702.11
niftybank	16-Jan-25	49082.9	49459	49038.45	49278.7	146732136	7742.3
niftybank	17-Jan-25	48959.5	49047.2	48309.5	48540.6	130598508	8620.64
niftybank	20-Jan-25	48834.15	49650.6	48683.6	49350.8	173115109	10519.88
niftybank	21-Jan-25	49532	49543.15	48430.95	48570.9	134686328	9193.77
niftybank	22-Jan-25	48689.55	48781.75	48074.05	48724.4	151683951	8347.43
niftybank	23-Jan-25	48770.15	48892.7	48493	48589	124573638	8807.77
niftybank	24-Jan-25	48546.05	48858.65	48203	48367.8	139948431	7505.19
niftybank	27-Jan-25	47881.65	48319.2	47844.15	48064.65	271808231	8969.36
niftybank	28-Jan-25	48642.5	49247.15	48449.05	48866.85	299944475	12208.48
niftybank	29-Jan-25	48997.2	49199.65	48849.8	49165.95	177169221	5952.79
niftybank	30-Jan-25	49206.2	49426.2	49031.8	49311.95	197906088	8567.72
niftybank	31-Jan-25	49259.65	49674.8	49031.8	49587.2	232021331	7728.28
niftybank	01-Feb-25	49592.55	50009.5	48925.45	49506.95	118009351	3955.85
niftybank	03-Feb-25	49074.8	49373.45	48906.05	49210.55	122888691	5789.59
niftybank	04-Feb-25	49538.8	50206.6	49482.5	50157.95	155659931	9984.88
niftybank	05-Feb-25	50402.3	50522.15	50215.45	50343.05	148953623	7176.17
niftybank	06-Feb-25	50468.35	50553.35	50149.8	50382.1	158402021	8485.81
niftybank	07-Feb-25	50484.45	50641.75	49871.15	50158.85	178726541	9150.02
niftybank	10-Feb-25	50052.5	50155.65	49703.1	49981	98420678	5412.83
niftybank	11-Feb-25	49812.15	49906.75	49177.4	49403.4	127015655	6260.18
niftybank	12-Feb-25	49402.25	49702.35	48734.35	49479.45	136468017	6944.33
niftybank	13-Feb-25	49469.35	49836.1	49276.1	49359.85	118606192	7310.63
niftybank	14-Feb-25	49485.65	49592.95	48719.75	49099.45	130641404	6228.74
niftybank	17-Feb-25	48880.4	49319	48525.6	49258.9	114805488	5147.25
niftybank	18-Feb-25	49211.85	49328.55	48814.95	49087.3	107781259	5531.66
niftybank	19-Feb-25	48895.35	49628.25	48804	49570.1	113250369	5739.81
niftybank	20-Feb-25	49314.1	49455.8	49150.95	49334.55	111960237	6208.97
niftybank	21-Feb-25	49127.95	49306.55	48764	48981.2	95345014	5055.3
niftybank	24-Feb-25	48619.8	48748.4	48281.9	48651.95	95748720	5512.2
niftybank	25-Feb-25	48691.2	48862.15	48534.15	48608.35	106651228	6429.81
niftybank	27-Feb-25	48732.2	48972.55	48627.1	48743.8	186728631	9357.41
niftybank	28-Feb-25	48437.55	48574.5	48078.7	48344.7	287716653	18190.01
niftybank	03-Mar-25	48478.6	48574.7	47841.3	48114.3	151025906	6405.82
niftybank	04-Mar-25	47942.5	48374.9	47924.75	48245.2	139300167	6415.75
niftybank	05-Mar-25	48241.3	48657.65	48190.25	48489.95	127803810	6244.51
niftybank	06-Mar-25	48760	48839.1	48299.4	48627.7	137393647	8118.72
niftybank	07-Mar-25	48463.8	48709.05	48359.35	48497.5	106040439	5259.86
niftybank	10-Mar-25	48312	48599.15	48124.65	48216.8	123771352	6129.4
niftybank	11-Mar-25	47874.8	48029.05	47702.9	47853.95	222380296	12487.44
niftybank	12-Mar-25	47894.4	48222.15	47844.95	48056.65	243281505	13858.73
niftybank	13-Mar-25	48219.15	48352.45	48006.1	48060.4	145864976	7179.86
niftybank	17-Mar-25	48219.55	48481.35	48196.1	48354.15	131272921	6980.6
niftybank	18-Mar-25	48792.9	49400.3	48629.45	49314.5	146550294	8229.85
niftybank	19-Mar-25	49375.4	49807.55	49324.8	49702.6	137635415	6785.05
niftybank	20-Mar-25	49947.6	50155.3	49771.65	50062.85	115743962	5905.18
niftybank	21-Mar-25	49927.1	50672.15	49891.95	50593.55	225498916	18532.21
niftybank	24-Mar-25	50982.7	51801.15	50795.9	51704.95	180444979	8885.39
niftybank	25-Mar-25	51874.2	52063.95	51429.6	51607.95	185197665	12224.07
niftybank	26-Mar-25	51640.05	51875.8	51069.15	51209	152895952	8525.79
niftybank	27-Mar-25	51084.7	51714.35	51050.85	51575.85	415772852	15234.89
niftybank	28-Mar-25	51608.4	51839.1	51335.35	51564.85	171152969	7586.83
niftybank	01-Apr-25	51178.15	51683.85	50742	50827.5	176322972	8505.05
niftybank	02-Apr-25	50966.9	51404.2	50908.35	51348.05	149906457	5545.35
