index	date	open_price	high_price	low_price	close_price	shares_traded	turnover
niftymidcap	03-Jan-25	13106.55	13129.75	12972.8	13009.85	519989403	4688.76
niftymidcap	06-Jan-25	13053.8	13054.9	12656.4	12696.6	508700660	5090.43
niftymidcap	07-Jan-25	12727.85	12865.85	12717.25	12739.35	421019831	4458.78
niftymidcap	08-Jan-25	12760.25	12762.6	12420	12562.2	354031036	5649.8
niftymidcap	09-Jan-25	12601.2	12660.1	12461.55	12481.2	403377749	7640.28
niftymidcap	10-Jan-25	12464.8	12508.75	12264.45	12283	389052496	5873.7
niftymidcap	13-Jan-25	12159.95	12162.85	11789.1	11813.5	686615672	6419.9
niftymidcap	14-Jan-25	11855.3	12067.4	11854.4	12029.7	631842227	5836.27
niftymidcap	15-Jan-25	12088.65	12213.65	12011.55	12129	1457441779	7873
niftymidcap	16-Jan-25	12246.4	12302.05	12208.75	12218	589426665	4178.29
niftymidcap	17-Jan-25	12234.7	12288.7	12147.6	12249.85	543328082	4368.95
niftymidcap	20-Jan-25	12367.2	12390.45	12169.95	12356.5	1824135979	6861.34
niftymidcap	21-Jan-25	12363.7	12371	12003.4	12013.35	622694858	7406.36
niftymidcap	22-Jan-25	12034.5	12054.3	11750.95	11918.4	433076258	7520.32
niftymidcap	23-Jan-25	11985.65	12225	11948.75	12177.4	410694475	8926.67
niftymidcap	24-Jan-25	12184.35	12249.6	12028.15	12087.85	377776257	8706.21
niftymidcap	27-Jan-25	11940.95	11958.4	11694	11722.2	479048269	6297.36
niftymidcap	28-Jan-25	11747.75	11790.8	11562.25	11644.4	472096379	7434.36
niftymidcap	29-Jan-25	11643.65	11880.45	11640.9	11871.7	283888656	4479.98
niftymidcap	30-Jan-25	11887	11913.2	11774.45	11795.15	377793764	7814.21
niftymidcap	31-Jan-25	11804.15	11965.8	11761.45	11930.85	417400345	5422.31
niftymidcap	01-Feb-25	11975.05	12003.3	11647.15	11864.6	882172471	5541.21
niftymidcap	03-Feb-25	11778.15	11841.65	11608.45	11822.6	476954857	7340.97
niftymidcap	04-Feb-25	11903.2	12054.85	11895.65	12011.55	487935760	5854.14
niftymidcap	05-Feb-25	12064.8	12194.5	12059.95	12092.9	412274170	5235.44
niftymidcap	06-Feb-25	12170.55	12180.45	11946.1	11973.35	292044703	4808.68
niftymidcap	07-Feb-25	11983.4	12104.8	11898.05	12011.5	681534504	4984.16
niftymidcap	10-Feb-25	12036.45	12055.15	11757.15	11790.05	305227165	3372.4
niftymidcap	11-Feb-25	11797.55	11804.45	11396.15	11471.45	311189505	3861.1
niftymidcap	12-Feb-25	11454.15	11494.45	11149.3	11395.2	669304937	6570.78
niftymidcap	13-Feb-25	11412.45	11547.65	11339.2	11359.9	794945451	5463.37
niftymidcap	14-Feb-25	11412.7	11428.65	10976.85	11090.05	559646270	4894.07
niftymidcap	17-Feb-25	11025.7	11188.75	10840.65	11172.7	498619965	4408.48
niftymidcap	18-Feb-25	11179.3	11203.7	11001	11136.65	386983295	3888.06
niftymidcap	19-Feb-25	11066.9	11291.1	10978.6	11270.25	361501158	4753.32
niftymidcap	20-Feb-25	11235.05	11409.3	11182.85	11391.45	239779935	3336.83
niftymidcap	21-Feb-25	11376.65	11445.7	11163.05	11198.9	340334597	4126.27
niftymidcap	24-Feb-25	11098.95	11165.35	11008.55	11126.55	320590067	3894.47
niftymidcap	25-Feb-25	11101.45	11189.9	11024.15	11055.35	257562401	3152.47
niftymidcap	27-Feb-25	11052.65	11066.55	10899.55	10957.3	438089650	7720.73
niftymidcap	28-Feb-25	10883.55	10889	10677.1	10770.75	609395127	12171.54
niftymidcap	03-Mar-25	10803.85	10893.5	10622.05	10866.1	531295733	6935.84
niftymidcap	04-Mar-25	10755.25	10901.7	10669.25	10833.65	415583810	4980.24
niftymidcap	05-Mar-25	10835.3	11180.4	10835.3	11168.5	458263666	7566.71
niftymidcap	06-Mar-25	11274.7	11308.8	11172.55	11190.65	359544011	5027.47
niftymidcap	07-Mar-25	11176.15	11223.45	11084.05	11117.9	381218406	4366.48
niftymidcap	10-Mar-25	11132.5	11201.9	10920.7	10956.05	499710998	4172.06
niftymidcap	11-Mar-25	10865.65	11032.4	10800.25	11002.25	411526896	4264.41
niftymidcap	12-Mar-25	11031.05	11073.6	10777.1	10911.65	636784450	5009
niftymidcap	13-Mar-25	10951.8	10970.25	10803.35	10823.95	471359219	3925.28
niftymidcap	17-Mar-25	10825.8	10937.8	10807	10893.15	386558851	4201.19
niftymidcap	18-Mar-25	10939.15	11161.85	10907.25	11142.65	371580841	4349.29
niftymidcap	19-Mar-25	11181.25	11387.9	11144.6	11352.1	758602148	5186.04
niftymidcap	20-Mar-25	11412.9	11448.55	11273.35	11364.65	536832676	6022.39
niftymidcap	21-Mar-25	11352.95	11528.8	11319.7	11507	816976692	8236.25
niftymidcap	24-Mar-25	11597.65	11747.7	11546.55	11699.5	586626231	5232.82
niftymidcap	25-Mar-25	11770.8	11780.2	11503.5	11581.4	556032799	6868.43
niftymidcap	26-Mar-25	11604	11675.3	11479.15	11502.15	669326413	5714.01
niftymidcap	27-Mar-25	11429	11558	11415.05	11515.8	1195841239	10090.1
niftymidcap	28-Mar-25	11618.95	11701.05	11470.15	11546	991455120	15348.12
niftymidcap	01-Apr-25	11548	11628.6	11368.7	11383.9	2462057734	9339.07
niftymidcap	02-Apr-25	11418.65	11613.2	11355.1	11606.45	1038204188	8251.36
