index	date	open_price	high_price	low_price	close_price	shares_traded	turnover
niftynext	03-Jan-25	69444.25	69785.9	69096	69192.45	356427787	16697.76
niftynext	06-Jan-25	69280.6	69280.6	66759.6	66996.8	429190567	13440.72
niftynext	07-Jan-25	67034.6	67629.4	66819.85	66938.9	323287608	11513.34
niftynext	08-Jan-25	67011.2	67084.55	65880.4	66402.6	276430784	10416.83
niftynext	09-Jan-25	66481.85	66490.7	65482.4	65557.2	252424329	9521.55
niftynext	10-Jan-25	65544.35	65662.45	64126.25	64257.1	342457573	12450.15
niftynext	13-Jan-25	63399.2	63478.55	61388.9	61481.55	429093291	15324.44
niftynext	14-Jan-25	61860.75	63296.65	61839.55	63084.1	480279843	19147.29
niftynext	15-Jan-25	63580.05	63953.65	62990.8	63639.55	382786713	15025.79
niftynext	16-Jan-25	64520.55	64914.95	64448.85	64564.5	359852526	12810.99
niftynext	17-Jan-25	64616.2	65250.8	64251.95	65053.6	272230061	11744.45
niftynext	20-Jan-25	65322.65	65574.55	64689.75	65106.15	323322456	10696.24
niftynext	21-Jan-25	64933.55	65029.45	63348.15	63406.15	525581008	16112.1
niftynext	22-Jan-25	63467.8	63579.15	61895.8	62865.6	434035644	14818.8
niftynext	23-Jan-25	62773.35	63808.6	62567.85	63499.75	270666785	10961.09
niftynext	24-Jan-25	63574.7	63755.1	62388.6	62494	264630006	10081.04
niftynext	27-Jan-25	62041.8	62050.85	60600.15	60730.9	364498051	13085.5
niftynext	28-Jan-25	61173.75	61542.55	60131.4	60912.1	449164010	14469.52
niftynext	29-Jan-25	60992.5	62213.45	60965.1	62142.15	364429442	12810.25
niftynext	30-Jan-25	62330.5	62771.75	61890.85	62193.15	371564087	12297.5
niftynext	31-Jan-25	62303.95	63311.3	62026.05	63127.35	474757698	15597.06
niftynext	01-Feb-25	63448.2	63804.15	62505	63503.1	456056821	16885.98
niftynext	03-Feb-25	63039.85	63039.85	62106.75	62634.2	455567083	18131.59
niftynext	04-Feb-25	63302.95	63674.35	62923.05	63598.35	372199400	14330.3
niftynext	05-Feb-25	63838.3	64377.5	63833.85	64012.8	344311801	12573.79
niftynext	06-Feb-25	64451.3	64458.05	63342.7	63536.7	251032300	9606.38
niftynext	07-Feb-25	63653.7	63907.35	62910.6	63552.2	280277002	10698.47
niftynext	10-Feb-25	63572.8	64029.1	62156.1	62390.3	250623200	9368.95
niftynext	11-Feb-25	62374.25	62521.75	60574.75	60827.8	358027685	11944.05
niftynext	12-Feb-25	60793.7	61157.5	59151.9	60826.5	463743168	14647.36
niftynext	13-Feb-25	60975.7	61738.9	60827.05	60947.75	268810845	10283.26
niftynext	14-Feb-25	61145.5	61239.8	59066.85	59557.95	312049550	10731.8
niftynext	17-Feb-25	59221.95	59551.5	58230.9	59446.55	314864071	10163.48
niftynext	18-Feb-25	59567.5	59673.55	58784.25	59449.4	289700648	11328.51
niftynext	19-Feb-25	59074.5	60273.25	58798.75	60156.4	314407949	11039.16
niftynext	20-Feb-25	59946.45	61073.25	59769.45	61039.1	313985864	10570.41
niftynext	21-Feb-25	60973.45	61417.55	60246.35	60466.8	326219483	11995.75
niftynext	24-Feb-25	59850.3	60062.9	59535.3	59752.6	235179750	9458.32
niftynext	25-Feb-25	59790.4	60057.9	59251.35	59312.5	295593353	10930.1
niftynext	27-Feb-25	59368.4	59572.75	58615	58767.2	323343602	12280.37
niftynext	28-Feb-25	58275.5	58370.6	56868.45	57063.05	660533181	24520.97
niftynext	03-Mar-25	57261.7	57798.6	56192.45	57646.8	420402545	13202.97
niftynext	04-Mar-25	57135.3	58168.95	56741.4	57966.85	379584303	12304.84
niftynext	05-Mar-25	57943.25	59483.2	57943.25	59441.65	352167324	13869.51
niftynext	06-Mar-25	60134.8	60350.05	59844.1	60114.35	321908848	12546.06
niftynext	07-Mar-25	60113.7	60391.9	59673.65	59852.55	287756810	10547.16
niftynext	10-Mar-25	59900.75	60318.15	58854.4	58972	316554179	11611.61
niftynext	11-Mar-25	58351.45	59469.4	58162.4	59274.1	356540394	11343.24
niftynext	12-Mar-25	59502	59751.9	58554.55	59277.55	310596583	10421.15
niftynext	13-Mar-25	59618.9	59883.55	58914.15	58976.1	283148412	10497.26
niftynext	17-Mar-25	59056.6	59583.1	59006.15	59406.6	245154741	9100.04
niftynext	18-Mar-25	59793.5	61049.2	59677.3	60971.4	319362440	11701.89
niftynext	19-Mar-25	61205.05	62095.2	60989.75	61953.45	313449785	12549.8
niftynext	20-Mar-25	62373.65	62553.1	61717.45	62309.35	298938933	12595.19
niftynext	21-Mar-25	62319.4	63063.1	62214.15	62855.85	523090489	18428.1
niftynext	24-Mar-25	63373.05	63794.6	63114.85	63638.4	368294248	13608.73
niftynext	25-Mar-25	64133.3	64141.3	62589.8	62703.75	364580320	13766.86
niftynext	26-Mar-25	62721.45	63186.85	62388.6	62460.8	389383445	15284.98
niftynext	27-Mar-25	62298.55	63606.7	62165.5	63442.55	1138042246	29170.17
niftynext	28-Mar-25	63471.8	63916.9	62917.75	63043.2	267443251	12108.43
niftynext	01-Apr-25	62981.1	63339.15	62181.2	62372.1	193125898	10952.37
niftynext	02-Apr-25	62466.55	63143.25	61933.7	63087.1	192800308	9850.55
